Ano;Veículo;Título;Autores;Número;Volume;Local;Página Inicial;Página Final
2013;BWC;Testing Intellectual Mythos: Biotech and/in the Abject;5019266873788773,5452886770625902,0518235404507497;2;1;;25;34
2014;BWC;The Most Overlooked Fact About biotechnology Revealed;5019266873788773;3;2;;10;15
2015;ICS;Unknown Facts About stereochemistry Revealed By The Experts;8442500391062858,9064209790966661;10;;Canada;18;28
2015;NYPEF;The History of new york Refuted;8442500391062858;7;2;;31;157
2014;ICS;The Insider Secret on stereochemistry Uncovered;3607135109879246;7;;Toronto;25;98
2013;ICS;The Nuiances Of steks;3607135109879246,9297754462710126;25;;New York;14;19
2014;ICBDADM;Master The Art Of Big Data Analysis With These 9 Tips;5452886770625902;78;;Genebra;16;87
2016;NYPEF;The Little-Known Secrets To new york;5452886770625902;2;7;;78;105
2013;ICBDADM;What Big Data Analysis Experts Don't Want You To Know;8442500391062858;5;;Canada;87;204
2014;ICSLP;You Want Speech Language?;3607135109879246;8;;Washington;789;1201
2014;ESSM;Amazing Tricks To Get The Most Out Of Your Satellite And Space Missions;5019266873788773,9064209790966661;9;3;;14;200
2012;ICSLP;Cracking The Speech Language Secret;0518235404507497;10;;Nebraska;19;158
2014;WCAR;How To Make Automation And Robotics;0518235404507497,0043475624301903,9064209790966661;15;;Germany;158;209
2015;ESSM;How To Become Better With Satellite And Space Missions In 10 Minutes;0043475624301903,0518235404507497;3;1;;131;158
2015;GSEMA;Why My Multimedia And Applications Is Better Than Yours;0043475624301903;21;2;;200;877
2013;WCAR;Who Is Automation And Robotics?;9064209790966661;78;;Seul;294;309
2014;GSEMA;How Green Is Your Multimedia And Applications?;9064209790966661;41;3;;200;877
2016;CIA;My Life, My Job, My Career: How 6 Simple Industrial Automation Helped Me Succeed;5019266873788773;23;;California;158;874
2015;CEBB;Revolutionize Your Biosensors And Bioelectronics With These Easy-peasy Tips;9064209790966661;19;;Hong Kong;10;87
2012;GSHED;Do You Need A Hormones?;2972474915630831,9064209790966661;1;1;;15;75
2011;GSHED;Hormones Secrets Revealed;2972474915630831;4;2;;1;54
2012;ICCGMD;Listen To Your Customers. They Will Tell You All About Computer Graphics;2972474915630831;7;;Berlin;3;87
2014;WCATC;Do You Make These Simple Mistakes In Cancer And Anti-cancer?;9297754462710126,9064209790966661;9;;Texas;78;541
2016;WCATC;The Death Of Cancer And Anti-cancer And How To Avoid It;5019266873788773;48;;Springfield;14;69
2016;NCE;Best 40 Tips For Nanotechnology;9297754462710126,3607135109879246;49;1;;78;200
2012;GSOC;Who Is Oncology And Cancer?;9297754462710126;79;1;;77;544
2016;WDDS;Death, World Drug: Tips To Avoiding World Drug;9297754462710126;14;;Alabama;22;354
2016;ASOCE;9 Life-saving Tips About Orthopedics;3985926611908052;16;;Coimbra;47;51;
2016;WCEAM;The Hidden Mystery Behind Applied Microbiology;5019266873788773,3607135109879246;21;1;;10;544
2015;WCGRS;10 Ideas For Remote Sensing;3985926611908052;66;;Lima;26;144
2012;ASOCE;20 Best Ways To Sell Orthopedics;3985926611908052,3607135109879246;48;;Tokyo;28;65
2013;ASOCE;How To Rent A Orthopedics Without Spending An Arm And A Leg;5019266873788773;73;;Madri;24;69
2012;WCEAM;One Word: Applied Microbiology;5452886770625902;45;2;;14;29
2014;CECSS;How To Learn Construction And Steel Structure;5452886770625902;44;1;;10;19
